Campaign,Ad Group,Keyword,Match type,Final URL,Status,Comment
Search - Pilotage admin PV,Pilotage complet,gestion administrative photovoltaïque,Phrase,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=pilotage_complet,Paused,Pilotage global
Search - Pilotage admin PV,Pilotage complet,gestion administrative photovoltaïque,Exact,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=pilotage_complet,Paused,Pilotage global
Search - Pilotage admin PV,Pilotage complet,pilotage administratif photovoltaïque,Phrase,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=pilotage_complet,Paused,Pilotage global
Search - Pilotage admin PV,Pilotage complet,gestion dossier photovoltaïque,Phrase,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=pilotage_complet,Paused,Pilotage global
Search - Pilotage admin PV,Pilotage complet,suivi administratif photovoltaïque,Phrase,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=pilotage_complet,Paused,Pilotage global
Search - Pilotage admin PV,Externalisation administrative,externaliser administratif photovoltaïque,Phrase,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=externalisation_administrative,Paused,Externalisation
Search - Pilotage admin PV,Externalisation administrative,externaliser administratif photovoltaïque,Exact,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=externalisation_administrative,Paused,Externalisation
Search - Pilotage admin PV,Externalisation administrative,sous traiter administratif solaire,Phrase,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=externalisation_administrative,Paused,Externalisation
Search - Pilotage admin PV,Externalisation administrative,externalisation administrative solaire,Phrase,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=externalisation_administrative,Paused,Externalisation
Search - Pilotage admin PV,Externalisation administrative,prestataire administratif photovoltaïque,Phrase,https://sunelys.fr/gestion-administrative-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content=externalisation_administrative,Paused,Externalisation
Search - Sous-traitance DP,Sous-traitance DP,sous traitance déclaration préalable photovoltaïque,Phrase,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=sous_traitance_dp,Paused,DP
Search - Sous-traitance DP,Sous-traitance DP,sous traitance déclaration préalable photovoltaïque,Exact,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=sous_traitance_dp,Paused,DP
Search - Sous-traitance DP,Sous-traitance DP,déléguer déclaration préalable solaire,Phrase,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=sous_traitance_dp,Paused,DP
Search - Sous-traitance DP,Sous-traitance DP,declaration préalable panneaux solaires installateur,Phrase,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=sous_traitance_dp,Paused,DP
Search - Sous-traitance DP,Sous-traitance DP,dossier dp photovoltaïque professionnel,Phrase,https://sunelys.fr/sous-traitance-declaration-prealable-solaire?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=sous_traitance_dp,Paused,DP
Search - Sous-traitance DP,Blocage mairie DP,complément mairie panneaux solaires,Phrase,https://sunelys.fr/declaration-prealable-panneaux-solaires?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=blocage_mairie_dp,Paused,Blocage mairie
Search - Sous-traitance DP,Blocage mairie DP,déclaration préalable refusée panneaux solaires,Phrase,https://sunelys.fr/declaration-prealable-panneaux-solaires?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=blocage_mairie_dp,Paused,Blocage mairie
Search - Sous-traitance DP,Blocage mairie DP,dossier déclaration préalable incomplet photovoltaïque,Phrase,https://sunelys.fr/declaration-prealable-panneaux-solaires?utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content=blocage_mairie_dp,Paused,Blocage mairie
Search - Consuel Raccordement,Consuel PV,dossier consuel photovoltaïque installateur,Phrase,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=consuel_pv,Paused,Consuel
Search - Consuel Raccordement,Consuel PV,dossier consuel photovoltaïque,Exact,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=consuel_pv,Paused,Consuel
Search - Consuel Raccordement,Consuel PV,consuel photovoltaïque dossier,Phrase,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=consuel_pv,Paused,Consuel
Search - Consuel Raccordement,Consuel PV,suivi consuel photovoltaïque,Phrase,https://sunelys.fr/dossier-consuel-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=consuel_pv,Paused,Consuel
Search - Consuel Raccordement,Raccordement Enedis,raccordement enedis photovoltaïque installateur,Phrase,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=raccordement_enedis,Paused,Raccordement
Search - Consuel Raccordement,Raccordement Enedis,suivi raccordement photovoltaïque,Phrase,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=raccordement_enedis,Paused,Raccordement
Search - Consuel Raccordement,Raccordement Enedis,dossier raccordement enedis photovoltaïque,Phrase,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=raccordement_enedis,Paused,Raccordement
Search - Consuel Raccordement,Raccordement Enedis,raccordement enedis photovoltaïque,Exact,https://sunelys.fr/raccordement-enedis-photovoltaique?utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content=raccordement_enedis,Paused,Raccordement
