campaign,ad_group,match_type,keyword,final_url,utm_campaign,intent
"Search - Pilotage admin PV","Pilotage complet","phrase","gestion administrative photovoltaïque","https://sunelys.fr/gestion-administrative-photovoltaique","search_pilotage_admin_pv","Pilotage global"
"Search - Pilotage admin PV","Pilotage complet","exact","gestion administrative photovoltaïque","https://sunelys.fr/gestion-administrative-photovoltaique","search_pilotage_admin_pv","Pilotage global"
"Search - Pilotage admin PV","Pilotage complet","phrase","pilotage administratif photovoltaïque","https://sunelys.fr/gestion-administrative-photovoltaique","search_pilotage_admin_pv","Pilotage global"
"Search - Pilotage admin PV","Pilotage complet","phrase","gestion dossier photovoltaïque","https://sunelys.fr/gestion-administrative-photovoltaique","search_pilotage_admin_pv","Pilotage global"
"Search - Pilotage admin PV","Pilotage complet","phrase","suivi administratif photovoltaïque","https://sunelys.fr/gestion-administrative-photovoltaique","search_pilotage_admin_pv","Pilotage global"
"Search - Pilotage admin PV","Externalisation administrative","phrase","externaliser administratif photovoltaïque","https://sunelys.fr/gestion-administrative-photovoltaique","search_pilotage_admin_pv","Externalisation"
"Search - Pilotage admin PV","Externalisation administrative","exact","externaliser administratif photovoltaïque","https://sunelys.fr/gestion-administrative-photovoltaique","search_pilotage_admin_pv","Externalisation"
"Search - Pilotage admin PV","Externalisation administrative","phrase","sous traiter administratif solaire","https://sunelys.fr/gestion-administrative-photovoltaique","search_pilotage_admin_pv","Externalisation"
"Search - Pilotage admin PV","Externalisation administrative","phrase","externalisation administrative solaire","https://sunelys.fr/gestion-administrative-photovoltaique","search_pilotage_admin_pv","Externalisation"
"Search - Pilotage admin PV","Externalisation administrative","phrase","prestataire administratif photovoltaïque","https://sunelys.fr/gestion-administrative-photovoltaique","search_pilotage_admin_pv","Externalisation"
"Search - Sous-traitance DP","Sous-traitance DP","phrase","sous traitance déclaration préalable photovoltaïque","https://sunelys.fr/sous-traitance-declaration-prealable-solaire","search_sous_traitance_dp","DP"
"Search - Sous-traitance DP","Sous-traitance DP","exact","sous traitance déclaration préalable photovoltaïque","https://sunelys.fr/sous-traitance-declaration-prealable-solaire","search_sous_traitance_dp","DP"
"Search - Sous-traitance DP","Sous-traitance DP","phrase","déléguer déclaration préalable solaire","https://sunelys.fr/sous-traitance-declaration-prealable-solaire","search_sous_traitance_dp","DP"
"Search - Sous-traitance DP","Sous-traitance DP","phrase","declaration préalable panneaux solaires installateur","https://sunelys.fr/sous-traitance-declaration-prealable-solaire","search_sous_traitance_dp","DP"
"Search - Sous-traitance DP","Sous-traitance DP","phrase","dossier dp photovoltaïque professionnel","https://sunelys.fr/sous-traitance-declaration-prealable-solaire","search_sous_traitance_dp","DP"
"Search - Sous-traitance DP","Blocage mairie DP","phrase","complément mairie panneaux solaires","https://sunelys.fr/declaration-prealable-panneaux-solaires","search_sous_traitance_dp","Blocage mairie"
"Search - Sous-traitance DP","Blocage mairie DP","phrase","déclaration préalable refusée panneaux solaires","https://sunelys.fr/declaration-prealable-panneaux-solaires","search_sous_traitance_dp","Blocage mairie"
"Search - Sous-traitance DP","Blocage mairie DP","phrase","dossier déclaration préalable incomplet photovoltaïque","https://sunelys.fr/declaration-prealable-panneaux-solaires","search_sous_traitance_dp","Blocage mairie"
"Search - Consuel Raccordement","Consuel PV","phrase","dossier consuel photovoltaïque installateur","https://sunelys.fr/dossier-consuel-photovoltaique","search_consuel_raccordement","Consuel"
"Search - Consuel Raccordement","Consuel PV","exact","dossier consuel photovoltaïque","https://sunelys.fr/dossier-consuel-photovoltaique","search_consuel_raccordement","Consuel"
"Search - Consuel Raccordement","Consuel PV","phrase","consuel photovoltaïque dossier","https://sunelys.fr/dossier-consuel-photovoltaique","search_consuel_raccordement","Consuel"
"Search - Consuel Raccordement","Consuel PV","phrase","suivi consuel photovoltaïque","https://sunelys.fr/dossier-consuel-photovoltaique","search_consuel_raccordement","Consuel"
"Search - Consuel Raccordement","Raccordement Enedis","phrase","raccordement enedis photovoltaïque installateur","https://sunelys.fr/raccordement-enedis-photovoltaique","search_consuel_raccordement","Raccordement"
"Search - Consuel Raccordement","Raccordement Enedis","phrase","suivi raccordement photovoltaïque","https://sunelys.fr/raccordement-enedis-photovoltaique","search_consuel_raccordement","Raccordement"
"Search - Consuel Raccordement","Raccordement Enedis","phrase","dossier raccordement enedis photovoltaïque","https://sunelys.fr/raccordement-enedis-photovoltaique","search_consuel_raccordement","Raccordement"
"Search - Consuel Raccordement","Raccordement Enedis","exact","raccordement enedis photovoltaïque","https://sunelys.fr/raccordement-enedis-photovoltaique","search_consuel_raccordement","Raccordement"
