Action,Campaign,Keyword,Criterion Type,Match Type
Add,Search - Pilotage admin PV,particulier,Campaign negative,Broad match
Add,Search - Pilotage admin PV,aide panneau solaire,Campaign negative,Broad match
Add,Search - Pilotage admin PV,prime panneau solaire,Campaign negative,Broad match
Add,Search - Pilotage admin PV,ma prime renov,Campaign negative,Broad match
Add,Search - Pilotage admin PV,gratuit pdf,Campaign negative,Broad match
Add,Search - Pilotage admin PV,cerfa pdf,Campaign negative,Broad match
Add,Search - Pilotage admin PV,schema gratuit,Campaign negative,Broad match
Add,Search - Pilotage admin PV,forum,Campaign negative,Broad match
Add,Search - Pilotage admin PV,avis particulier,Campaign negative,Broad match
Add,Search - Pilotage admin PV,emploi,Campaign negative,Broad match
Add,Search - Pilotage admin PV,recrutement,Campaign negative,Broad match
Add,Search - Pilotage admin PV,formation,Campaign negative,Broad match
Add,Search - Pilotage admin PV,stage,Campaign negative,Broad match
Add,Search - Pilotage admin PV,salaire,Campaign negative,Broad match
Add,Search - Pilotage admin PV,bricolage,Campaign negative,Broad match
Add,Search - Pilotage admin PV,kit solaire,Campaign negative,Broad match
Add,Search - Pilotage admin PV,batterie solaire,Campaign negative,Broad match
Add,Search - Pilotage admin PV,panneau solaire prix particulier,Campaign negative,Broad match
Add,Search - Pilotage admin PV,simulateur,Campaign negative,Broad match
Add,Search - Pilotage admin PV,modele gratuit,Campaign negative,Broad match
Add,Search - Pilotage admin PV,exemple gratuit,Campaign negative,Broad match
Add,Search - Sous-traitance DP,particulier,Campaign negative,Broad match
Add,Search - Sous-traitance DP,aide panneau solaire,Campaign negative,Broad match
Add,Search - Sous-traitance DP,prime panneau solaire,Campaign negative,Broad match
Add,Search - Sous-traitance DP,ma prime renov,Campaign negative,Broad match
Add,Search - Sous-traitance DP,gratuit pdf,Campaign negative,Broad match
Add,Search - Sous-traitance DP,cerfa pdf,Campaign negative,Broad match
Add,Search - Sous-traitance DP,schema gratuit,Campaign negative,Broad match
Add,Search - Sous-traitance DP,forum,Campaign negative,Broad match
Add,Search - Sous-traitance DP,avis particulier,Campaign negative,Broad match
Add,Search - Sous-traitance DP,emploi,Campaign negative,Broad match
Add,Search - Sous-traitance DP,recrutement,Campaign negative,Broad match
Add,Search - Sous-traitance DP,formation,Campaign negative,Broad match
Add,Search - Sous-traitance DP,stage,Campaign negative,Broad match
Add,Search - Sous-traitance DP,salaire,Campaign negative,Broad match
Add,Search - Sous-traitance DP,bricolage,Campaign negative,Broad match
Add,Search - Sous-traitance DP,kit solaire,Campaign negative,Broad match
Add,Search - Sous-traitance DP,batterie solaire,Campaign negative,Broad match
Add,Search - Sous-traitance DP,panneau solaire prix particulier,Campaign negative,Broad match
Add,Search - Sous-traitance DP,simulateur,Campaign negative,Broad match
Add,Search - Sous-traitance DP,modele gratuit,Campaign negative,Broad match
Add,Search - Sous-traitance DP,exemple gratuit,Campaign negative,Broad match
Add,Search - Consuel Raccordement,particulier,Campaign negative,Broad match
Add,Search - Consuel Raccordement,aide panneau solaire,Campaign negative,Broad match
Add,Search - Consuel Raccordement,prime panneau solaire,Campaign negative,Broad match
Add,Search - Consuel Raccordement,ma prime renov,Campaign negative,Broad match
Add,Search - Consuel Raccordement,gratuit pdf,Campaign negative,Broad match
Add,Search - Consuel Raccordement,cerfa pdf,Campaign negative,Broad match
Add,Search - Consuel Raccordement,schema gratuit,Campaign negative,Broad match
Add,Search - Consuel Raccordement,forum,Campaign negative,Broad match
Add,Search - Consuel Raccordement,avis particulier,Campaign negative,Broad match
Add,Search - Consuel Raccordement,emploi,Campaign negative,Broad match
Add,Search - Consuel Raccordement,recrutement,Campaign negative,Broad match
Add,Search - Consuel Raccordement,formation,Campaign negative,Broad match
Add,Search - Consuel Raccordement,stage,Campaign negative,Broad match
Add,Search - Consuel Raccordement,salaire,Campaign negative,Broad match
Add,Search - Consuel Raccordement,bricolage,Campaign negative,Broad match
Add,Search - Consuel Raccordement,kit solaire,Campaign negative,Broad match
Add,Search - Consuel Raccordement,batterie solaire,Campaign negative,Broad match
Add,Search - Consuel Raccordement,panneau solaire prix particulier,Campaign negative,Broad match
Add,Search - Consuel Raccordement,simulateur,Campaign negative,Broad match
Add,Search - Consuel Raccordement,modele gratuit,Campaign negative,Broad match
Add,Search - Consuel Raccordement,exemple gratuit,Campaign negative,Broad match
