Action,Campaign,Keyword,Criterion Type
Add,Search - Pilotage admin PV,brancher,Campaign negative
Add,Search - Pilotage admin PV,comment brancher,Campaign negative
Add,Search - Pilotage admin PV,en parallèle,Campaign negative
Add,Search - Pilotage admin PV,exemple,Campaign negative
Add,Search - Sous-traitance DP,brancher,Campaign negative
Add,Search - Sous-traitance DP,comment brancher,Campaign negative
Add,Search - Sous-traitance DP,en parallèle,Campaign negative
Add,Search - Sous-traitance DP,exemple,Campaign negative
Add,Search - Consuel Raccordement,brancher,Campaign negative
Add,Search - Consuel Raccordement,comment brancher,Campaign negative
Add,Search - Consuel Raccordement,en parallèle,Campaign negative
Add,Search - Consuel Raccordement,exemple,Campaign negative
